Row   | WORD                           | COUNT     
--------------------------------------------------
1     | kg                             | 5         
2     | managed                        | 5         
3     | pets                           | 5         
4     | schools                        | 5         
5     | wilderness                     | 5         
6     | employers                      | 4         
7     | explain                        | 4         
8     | gps                            | 4         
9     | keeping                        | 4         
10    | loud                           | 4         
11    | manufactured                   | 4         
12    | margaret                       | 4         
13    | nb                             | 4         
14    | opens                          | 4         
15    | passion                        | 4         
16    | petersburg                     | 4         
17    | products                       | 4         
18    | published                      | 4         
19    | qualities                      | 4         
20    | recommends                     | 4         
21    | relates                        | 4         
22    | seasons                        | 4         
23    | sentences                      | 4         
24    | suggestions                    | 4         
25    | terrorist                      | 4         
26    | threats                        | 4         
27    | toner                          | 4         
28    | travelling                     | 4         
29    | useful                         | 4         
30    | webcams                        | 4         
31    | worldcat                       | 4         
32    | wrap                           | 4         
33    | corpus                         | 3         
34    | downtown                       | 3         
35    | drinks                         | 3         
36    | dude                           | 3         
37    | eau                            | 3         
38    | entries                        | 3         
39    | euro                           | 3         
40    | excellence                     | 3         
41    | explicit                       | 3         
42    | filed                          | 3         
43    | fold                           | 3         
44    | founded                        | 3         
45    | game                           | 3         
46    | ground                         | 3         
47    | gtk                            | 3         
48    | guided                         | 3         
49    | habits                         | 3         
50    | half                           | 3         
51    | harris                         | 3         
52    | hilton                         | 3         
53    | hl                             | 3         
54    | inclusion                      | 3         
55    | inf                            | 3         
56    | injury                         | 3         
57    | iraq                           | 3         
58    | italy                          | 3         
59    | jewish                         | 3         
60    | join                           | 3         
61    | jump                           | 3         
62    | kay                            | 3         
63    | keep                           | 3         
64    | key                            | 3         
65    | kurt                           | 3         
66    | lane                           | 3         
67    | late                           | 3         
68    | laundry                        | 3         
69    | leon                           | 3         
70    | leonard                        | 3         
71    | lg                             | 3         
72    | liberal                        | 3         
73    | listings                       | 3         
74    | literary                       | 3         
75    | locally                        | 3         
76    | makeup                         | 3         
77    | manufacturing                  | 3         
78    | martial                        | 3         
79    | masters                        | 3         
80    | matched                        | 3         
81    | matter                         | 3         
82    | mature                         | 3         
83    | meant                          | 3         
84    | message                        | 3         
85    | migration                      | 3         
86    | mines                          | 3         
87    | mixture                        | 3         
88    | moscow                         | 3         
89    | munich                         | 3         
90    | mx                             | 3         
91    | netherlands                    | 3         
92    | newfoundland                   | 3         
93    | nickel                         | 3         
94    | night                          | 3         
95    | nokia                          | 3         
96    | nt                             | 3         
97    | occupations                    | 3         
98    | officers                       | 3         
99    | organizations                  | 3         
100   | original                       | 3         
101   | overview                       | 3         
102   | owned                          | 3         
103   | oxide                          | 3         
104   | ozone                          | 3         
105   | pack                           | 3         
106   | pale                           | 3         
107   | pays                           | 3         
108   | pci                            | 3         
109   | personnel                      | 3         
110   | plants                         | 3         
111   | pleasant                       | 3         
112   | pointing                       | 3         
113   | poker                          | 3         
114   | pregnant                       | 3         
115   | priced                         | 3         
116   | propose                        | 3         
117   | pub                            | 3         
118   | publicly                       | 3         
119   | reasonable                     | 3         
120   | rebates                        | 3         
121   | rec                            | 3         
122   | receives                       | 3         
123   | recorded                       | 3         
124   | recreation                     | 3         
125   | released                       | 3         
126   | remember                       | 3         
127   | replace                        | 3         
128   | representatives                | 3         
129   | represented                    | 3         
130   | requires                       | 3         
131   | reseller                       | 3         
132   | respected                      | 3         
133   | restrict                       | 3         
134   | results                        | 3         
135   | retailer                       | 3         
136   | revolution                     | 3         
137   | revolutionary                  | 3         
138   | rica                           | 3         
139   | risks                          | 3         
140   | river                          | 3         
141   | router                         | 3         
142   | rx                             | 3         
143   | satisfied                      | 3         
144   | secretary                      | 3         
145   | seeks                          | 3         
146   | sega                           | 3         
147   | self                           | 3         
148   | sells                          | 3         
149   | sen                            | 3         
150   | serbia                         | 3         
