Row   | WORD                           | COUNT     
--------------------------------------------------
1     | started                        | 3         
2     | annual                         | 2         
3     | benchmark                      | 2         
4     | book                           | 2         
5     | castle                         | 2         
6     | charts                         | 2         
7     | clients                        | 2         
8     | coastal                        | 2         
9     | confidential                   | 2         
10    | consist                        | 2         
11    | contains                       | 2         
12    | crazy                          | 2         
13    | data                           | 2         
14    | ddr                            | 2         
15    | detroit                        | 2         
16    | diamonds                       | 2         
17    | diseases                       | 2         
18    | dramatically                   | 2         
19    | earning                        | 2         
20    | farm                           | 2         
21    | fought                         | 2         
22    | fucking                        | 2         
23    | hampton                        | 2         
24    | humidity                       | 2         
25    | javascript                     | 2         
26    | literally                      | 2         
27    | maiden                         | 2         
28    | metallic                       | 2         
29    | modification                   | 2         
30    | morocco                        | 2         
31    | navy                           | 2         
32    | nvidia                         | 2         
33    | onion                          | 2         
34    | panels                         | 2         
35    | physical                       | 2         
36    | plays                          | 2         
37    | poor                           | 2         
38    | racial                         | 2         
39    | reached                        | 2         
40    | renaissance                    | 2         
41    | ringtone                       | 2         
42    | salt                           | 2         
43    | shown                          | 2         
44    | since                          | 2         
45    | sparc                          | 2         
46    | supplier                       | 2         
47    | tiffany                        | 2         
48    | tired                          | 2         
49    | za                             | 2         
50    | zimbabwe                       | 2         
51    | adjustable                     | 1         
52    | admin                          | 1         
53    | adolescent                     | 1         
54    | albuquerque                    | 1         
55    | alternatives                   | 1         
56    | amazon                         | 1         
57    | analyst                        | 1         
58    | appreciate                     | 1         
59    | approve                        | 1         
60    | ar                             | 1         
61    | arabia                         | 1         
62    | architects                     | 1         
63    | arthritis                      | 1         
64    | asian                          | 1         
65    | assessed                       | 1         
66    | assigned                       | 1         
67    | ata                            | 1         
68    | ate                            | 1         
69    | attention                      | 1         
70    | audit                          | 1         
71    | australian                     | 1         
72    | az                             | 1         
73    | baby                           | 1         
74    | bacterial                      | 1         
75    | banking                        | 1         
76    | barrel                         | 1         
77    | barrier                        | 1         
78    | based                          | 1         
79    | baskets                        | 1         
80    | beach                          | 1         
81    | beaches                        | 1         
82    | beads                          | 1         
83    | beans                          | 1         
84    | beautiful                      | 1         
85    | bedrooms                       | 1         
86    | began                          | 1         
87    | begin                          | 1         
88    | beginner                       | 1         
89    | belkin                         | 1         
90    | below                          | 1         
91    | ben                            | 1         
92    | bend                           | 1         
93    | berlin                         | 1         
94    | berry                          | 1         
95    | beside                         | 1         
96    | beverage                       | 1         
97    | bible                          | 1         
98    | biggest                        | 1         
99    | bike                           | 1         
100   | bingo                          | 1         
101   | bio                            | 1         
102   | biographies                    | 1         
103   | biz                            | 1         
104   | bizrate                        | 1         
105   | bk                             | 1         
106   | blade                          | 1         
107   | blend                          | 1         
